,Ethyl acetate Methyl salicylate ,
Raman shift [1/cm],Intensity,
1976.314,0.012222,
1974.922,0.0036764,
1973.530,0.01041,
1972.137,0.0083611,
1970.745,0.0087744,
1969.353,0.010691,
1967.960,0.0065948,
1966.568,-0.0002084,
1965.176,0.011244,
1963.783,0.0077517,
1962.391,-0.0035169,
1960.999,0.0057563,
1959.606,0.0082554,
1958.214,0.0039067,
1956.822,0.0058756,
1955.429,-0.0012876,
1954.037,0.0059635,
1952.645,0.013139,
1951.252,0.00074739,
1949.860,0.0083888,
1948.468,0.019932,
1947.075,0.010071,
1945.683,0.0083793,
1944.291,0.0086433,
1942.899,0.0009674,
1941.506,0.0056973,
1940.114,0.0088795,
1938.722,0.0076535,
1937.329,0.010832,
1935.937,0.0053084,
1934.545,0.0091205,
1933.152,0.011723,
1931.760,0.003672,
1930.368,0.0013536,
1928.975,0.0095761,
1927.583,0.002851,
1926.191,0.0020537,
1924.798,0.015735,
1923.406,0.005865,
1922.014,-0.0016141,
1920.621,0.014301,
1919.229,0.0055227,
1917.837,0.0015095,
1916.444,0.0064356,
1915.052,0.0045519,
1913.660,0.0043006,
1912.267,0.0086057,
1910.875,0.0026758,
1909.483,0.0080932,
1908.090,0.0077041,
1906.698,0.0031008,
1905.306,0.0031321,
1903.913,0.0069635,
1902.521,0.0085836,
1901.129,0.0093687,
1899.736,0.0078048,
1898.344,0.00068799,
1896.952,0.0033331,
1895.559,0.0041248,
1894.167,0.0040942,
1892.775,0.0061006,
1891.382,0.0077844,
1889.990,0.00066809,
1888.598,0.0090603,
1887.205,0.0077627,
1885.813,0.0064787,
1884.421,0.014421,
1883.028,0.005646,
1881.636,0.0086575,
1880.244,0.0062218,
1878.851,0.0060411,
1877.459,0.005797,
1876.067,0.012059,
1874.674,0.0029354,
1873.282,0.0062457,
1871.890,0.0064046,
1870.497,0.0046565,
1869.105,0.0031872,
1867.713,0.0095552,
1866.320,0.0084761,
1864.928,0.00174,
1863.536,0.0046701,
1862.144,-0.0018315,
1860.751,0.003221,
1859.359,0.010486,
1857.967,-0.0021307,
1856.574,0.0025368,
1855.182,0.011258,
1853.790,0.0032829,
1852.397,0.0094044,
1851.005,0.012008,
1849.613,0.0026083,
1848.220,0.0054232,
1846.828,0.0050008,
1845.436,0.00081063,
1844.043,0.0034969,
1842.651,0.0090261,
1841.259,0.0052789,
1839.866,0.011525,
1838.474,0.013398,
1837.082,-0.00068442,
1835.689,0.0034413,
1834.297,0.0097181,
1832.905,0.0030316,
1831.512,0.0029934,
1830.120,0.012402,
1828.728,-0.0010223,
1827.335,0.00078674,
1825.943,0.0099183,
1824.551,0.00875,
1823.158,0.0040273,
1821.766,0.0092643,
1820.374,0.002697,
1818.981,0.0058801,
1817.589,0.010473,
1816.197,0.006132,
1814.804,0.0079647,
1813.412,0.0086464,
1812.020,0.0016462,
1810.627,0.0094167,
1809.235,0.013782,
1807.843,0.0092703,
1806.450,0.0044553,
1805.058,0.0010828,
1803.666,-0.0018798,
1802.273,0.0038677,
1800.881,0.013087,
1799.489,0.006017,
1798.096,0.006938,
1796.704,0.0094837,
1795.312,0.0045751,
1793.919,0.0024127,
1792.527,0.0092599,
1791.135,0.0087289,
1789.742,0.0041703,
1788.350,0.013752,
1786.958,0.0025473,
1785.565,0.0024479,
1784.173,0.01456,
1782.781,0.008209,
1781.389,0.0048964,
1779.996,0.0089613,
1778.604,0.0065875,
1777.212,0.0017175,
1775.819,0.010691,
1774.427,0.0090774,
1773.035,0.0039142,
1771.642,0.010137,
1770.250,0.014447,
1768.858,0.012671,
1767.465,0.016216,
1766.073,0.014767,
1764.681,0.011112,
1763.288,0.012938,
1761.896,0.015127,
1760.504,0.014918,
1759.111,0.018433,
1757.719,0.023329,
1756.327,0.016485,
1754.934,0.018668,
1753.542,0.02889,
1752.150,0.026354,
1750.757,0.034071,
1749.365,0.046062,
1747.973,0.038742,
1746.580,0.040052,
1745.188,0.060461,
1743.796,0.065479,
1742.403,0.066093,
1741.011,0.081331,
1739.619,0.083956,
1738.226,0.092008,
1736.834,0.087631,
1735.442,0.082464,
1734.049,0.080615,
1732.657,0.084848,
1731.265,0.071428,
1729.872,0.053288,
1728.480,0.045585,
1727.088,0.040845,
1725.695,0.033061,
1724.303,0.027404,
1722.911,0.02612,
1721.518,0.025043,
1720.126,0.022487,
1718.734,0.018798,
1717.341,0.014452,
1715.949,0.015229,
1714.557,0.021214,
1713.164,0.018104,
1711.772,0.0097696,
1710.380,0.018998,
1708.987,0.015568,
1707.595,0.011679,
1706.203,0.022651,
1704.811,0.017476,
1703.418,0.01479,
1702.026,0.015143,
1700.634,0.01416,
1699.241,0.011518,
1697.849,0.015995,
1696.457,0.021717,
1695.064,0.020782,
1693.672,0.019995,
1692.280,0.019233,
1690.887,0.016575,
1689.495,0.019722,
1688.103,0.027029,
1686.710,0.027698,
1685.318,0.021404,
1683.926,0.03045,
1682.533,0.029773,
1681.141,0.028637,
1679.749,0.032334,
1678.356,0.03086,
1676.964,0.026956,
1675.572,0.025421,
1674.179,0.0211,
1672.787,0.017243,
1671.395,0.017846,
1670.002,0.016757,
1668.610,0.013547,
1667.218,0.010098,
1665.825,0.024901,
1664.433,0.012638,
1663.041,0.013498,
1661.648,0.013043,
1660.256,0.0098187,
1658.864,0.006675,
1657.471,0.012691,
1656.079,0.011909,
1654.687,0.0074258,
1653.294,0.0094436,
1651.902,0.013702,
1650.510,0.010942,
1649.117,0.0078217,
1647.725,0.014394,
1646.333,0.0086278,
1644.940,0.0070503,
1643.548,0.014354,
1642.156,0.009956,
1640.763,0.0076799,
1639.371,0.015379,
1637.979,0.015338,
1636.586,0.012617,
1635.194,0.014375,
1633.802,0.013142,
1632.409,0.0064338,
1631.017,0.0064837,
1629.625,0.013499,
1628.232,0.0085,
1626.840,0.0072608,
1625.448,0.018139,
1624.056,0.01225,
1622.663,0.011901,
1621.271,0.016841,
1619.879,0.015013,
1618.486,0.011796,
1617.094,0.015822,
1615.702,0.016517,
1614.309,0.0093572,
1612.917,0.015846,
1611.525,0.021036,
1610.132,0.016403,
1608.740,0.016369,
1607.348,0.017647,
1605.955,0.0098613,
1604.563,0.0072034,
1603.171,0.013802,
1601.778,0.01334,
1600.386,0.0094183,
1598.994,0.014416,
1597.601,0.017717,
1596.209,0.0094975,
1594.817,0.011221,
1593.424,0.015621,
1592.032,0.011991,
1590.640,0.010836,
1589.247,0.018149,
1587.855,0.018804,
1586.463,0.014307,
1585.070,0.016312,
1583.678,0.0221,
1582.286,0.016663,
1580.893,0.010703,
1579.501,0.01955,
1578.109,0.013291,
1576.716,0.011769,
1575.324,0.011518,
1573.932,0.009909,
1572.539,0.0081921,
1571.147,0.012434,
1569.755,0.017624,
1568.362,0.011295,
1566.970,0.01269,
1565.578,0.015849,
1564.185,0.011748,
1562.793,0.012087,
1561.401,0.01649,
1560.008,0.01522,
1558.616,0.011838,
1557.224,0.013735,
1555.831,0.016301,
1554.439,0.008683,
1553.047,0.012424,
1551.654,0.013671,
1550.262,0.013551,
1548.870,0.0081572,
1547.477,0.014274,
1546.085,0.015229,
1544.693,0.009604,
1543.301,0.011729,
1541.908,0.020234,
1540.516,0.014151,
1539.124,0.012872,
1537.731,0.015754,
1536.339,0.011392,
1534.947,0.010131,
1533.554,0.016788,
1532.162,0.020044,
1530.770,0.012269,
1529.377,0.0072488,
1527.985,0.019383,
1526.593,0.019117,
1525.200,0.017871,
1523.808,0.021518,
1522.416,0.016661,
1521.023,0.015006,
1519.631,0.019878,
1518.239,0.02133,
1516.846,0.021566,
1515.454,0.015353,
1514.062,0.021865,
1512.669,0.01922,
1511.277,0.016741,
1509.885,0.020069,
1508.492,0.022485,
1507.100,0.019096,
1505.708,0.018406,
1504.315,0.020957,
1502.923,0.023036,
1501.531,0.020061,
1500.138,0.024555,
1498.746,0.025768,
1497.354,0.021649,
1495.961,0.021864,
1494.569,0.031792,
1493.177,0.028409,
1491.784,0.026057,
1490.392,0.030086,
1489.000,0.030519,
1487.607,0.029,
1486.215,0.031382,
